model,contract,value,metric
modeloespecifico,pooled,4.678,fullgame_eppd
modeloespecifico,suit,-0.0272,net_eppd_delta
modeloespecifico,high,0.1027,net_eppd_delta
modeloespecifico,low,-0.1333,net_eppd_delta
selected_two_stage_av,pooled,4.6278,fullgame_eppd
selected_two_stage_av,suit,0.0032,net_eppd_delta
selected_two_stage_av,high,0.3607,net_eppd_delta
selected_two_stage_av,low,0.0112,net_eppd_delta
gbt_av,pooled,4.1613,fullgame_eppd
gbt_av,suit,0.0435,net_eppd_delta
gbt_av,high,-0.0857,net_eppd_delta
gbt_av,low,-0.0774,net_eppd_delta
full_ols_av,pooled,4.9769,fullgame_eppd
full_ols_av,suit,0.0178,net_eppd_delta
full_ols_av,high,-0.0054,net_eppd_delta
full_ols_av,low,-0.101,net_eppd_delta
anchor_hybrid_r0_full,pooled,3.5406,fullgame_eppd
anchor_hybrid_r0_full,suit,-0.032,net_eppd_delta
anchor_hybrid_r0_full,high,-0.075,net_eppd_delta
anchor_hybrid_r0_full,low,-0.1061,net_eppd_delta
