model,contract,feature_name,importance
gbt_av,high,auction_position,0.0003
gbt_av,high,bid_n,0.1591
gbt_av,high,bid_n_sq,0.0635
gbt_av,high,bowers,0.0
gbt_av,high,current_high_bid,0.0006
gbt_av,high,double_ten_jack_count,0.0001
gbt_av,high,fourth_suit_len,0.0002
gbt_av,high,hand_value,0.0023
gbt_av,high,high_card_count,0.0009
gbt_av,high,highest_trump_rank,0.0
gbt_av,high,is_dealer,0.0
gbt_av,high,is_high,0.0
gbt_av,high,is_loner,0.684
gbt_av,high,is_low,0.0
gbt_av,high,is_moon,0.0554
gbt_av,high,losing_tricks_count,0.0012
gbt_av,high,low_card_count,0.0006
gbt_av,high,max_suit_len,0.0012
gbt_av,high,num_doubletons,0.0003
gbt_av,high,num_singletons,0.0002
gbt_av,high,offsuit_aces,0.0042
gbt_av,high,offsuit_best_rank_sum,0.0025
gbt_av,high,offsuit_king_count_total,0.0006
gbt_av,high,offsuit_length_3plus_count,0.0001
gbt_av,high,offsuit_non_ace_count,0.0048
gbt_av,high,offsuit_queen_count_total,0.0006
gbt_av,high,offsuit_secondbest_rank_sum,0.0014
gbt_av,high,offsuit_suits_with_ace,0.0005
gbt_av,high,offsuit_suits_with_ace_and_king,0.0008
gbt_av,high,offsuit_suits_with_double_ace,0.0008
gbt_av,high,offsuit_tens_count,0.0006
gbt_av,high,opp_left_level_high,0.0001
gbt_av,high,opp_left_level_low,0.0001
gbt_av,high,opp_left_level_off_color,0.0
gbt_av,high,opp_left_level_same_color,0.0
gbt_av,high,opp_left_level_same_suit,0.0
gbt_av,high,opp_left_passed,0.0002
gbt_av,high,opp_right_level_high,0.0002
gbt_av,high,opp_right_level_low,0.0003
gbt_av,high,opp_right_level_off_color,0.0
gbt_av,high,opp_right_level_same_color,0.0
gbt_av,high,opp_right_level_same_suit,0.0
gbt_av,high,opp_right_passed,0.0002
gbt_av,high,partner_level_high,0.0018
gbt_av,high,partner_level_low,0.0001
gbt_av,high,partner_level_off_color,0.0
gbt_av,high,partner_level_same_color,0.0
gbt_av,high,partner_level_same_suit,0.0
gbt_av,high,partner_passed,0.0005
gbt_av,high,quick_tricks,0.008
gbt_av,high,seat_rel_1,0.0001
gbt_av,high,seat_rel_2,0.0002
gbt_av,high,seat_rel_3,0.0003
gbt_av,high,second_highest_trump_rank,0.0
gbt_av,high,second_suit_len,0.0002
gbt_av,high,third_highest_trump_rank,0.0
gbt_av,high,third_suit_len,0.0007
gbt_av,high,trump_C,0.0
gbt_av,high,trump_D,0.0
gbt_av,high,trump_H,0.0
gbt_av,high,trump_S,0.0
gbt_av,high,trump_ace_count,0.0
gbt_av,high,trump_count,0.0
gbt_av,high,trump_count_x_offsuit_ace,0.0
gbt_av,high,trump_count_x_void_count,0.0
gbt_av,high,trump_duplicate_pairs,0.0
gbt_av,high,trump_king_count,0.0
gbt_av,high,trump_lb_count,0.0
gbt_av,high,trump_power_sum,0.0
gbt_av,high,trump_queen_count,0.0
gbt_av,high,trump_rb_count,0.0
gbt_av,high,trump_ten_count,0.0
gbt_av,high,void_count,0.0002
gbt_av,low,auction_position,0.0006
gbt_av,low,bid_n,0.1059
gbt_av,low,bid_n_sq,0.115
gbt_av,low,bowers,0.0
gbt_av,low,current_high_bid,0.0002
gbt_av,low,double_ten_jack_count,0.0003
gbt_av,low,fourth_suit_len,0.0002
gbt_av,low,hand_value,0.0017
gbt_av,low,high_card_count,0.0005
gbt_av,low,highest_trump_rank,0.0
gbt_av,low,is_dealer,0.0001
gbt_av,low,is_high,0.0
gbt_av,low,is_loner,0.6866
gbt_av,low,is_low,0.0
gbt_av,low,is_moon,0.0549
gbt_av,low,losing_tricks_count,0.001
gbt_av,low,low_card_count,0.0012
gbt_av,low,max_suit_len,0.0015
gbt_av,low,num_doubletons,0.0003
gbt_av,low,num_singletons,0.0002
gbt_av,low,offsuit_aces,0.0003
gbt_av,low,offsuit_best_rank_sum,0.0026
gbt_av,low,offsuit_king_count_total,0.0006
gbt_av,low,offsuit_length_3plus_count,0.0001
gbt_av,low,offsuit_non_ace_count,0.0002
gbt_av,low,offsuit_queen_count_total,0.0007
gbt_av,low,offsuit_secondbest_rank_sum,0.0025
gbt_av,low,offsuit_suits_with_ace,0.0004
gbt_av,low,offsuit_suits_with_ace_and_king,0.0005
gbt_av,low,offsuit_suits_with_double_ace,0.0004
gbt_av,low,offsuit_tens_count,0.0095
gbt_av,low,opp_left_level_high,0.0003
gbt_av,low,opp_left_level_low,0.0001
gbt_av,low,opp_left_level_off_color,0.0
gbt_av,low,opp_left_level_same_color,0.0
gbt_av,low,opp_left_level_same_suit,0.0
gbt_av,low,opp_left_passed,0.0001
gbt_av,low,opp_right_level_high,0.0002
gbt_av,low,opp_right_level_low,0.0003
gbt_av,low,opp_right_level_off_color,0.0
gbt_av,low,opp_right_level_same_color,0.0
gbt_av,low,opp_right_level_same_suit,0.0
gbt_av,low,opp_right_passed,0.0002
gbt_av,low,partner_level_high,0.0003
gbt_av,low,partner_level_low,0.0018
gbt_av,low,partner_level_off_color,0.0
gbt_av,low,partner_level_same_color,0.0
gbt_av,low,partner_level_same_suit,0.0
gbt_av,low,partner_passed,0.0003
gbt_av,low,quick_tricks,0.0074
gbt_av,low,seat_rel_1,0.0001
gbt_av,low,seat_rel_2,0.0001
gbt_av,low,seat_rel_3,0.0003
gbt_av,low,second_highest_trump_rank,0.0
gbt_av,low,second_suit_len,0.0002
gbt_av,low,third_highest_trump_rank,0.0
gbt_av,low,third_suit_len,0.0002
gbt_av,low,trump_C,0.0
gbt_av,low,trump_D,0.0
gbt_av,low,trump_H,0.0
gbt_av,low,trump_S,0.0
gbt_av,low,trump_ace_count,0.0
gbt_av,low,trump_count,0.0
gbt_av,low,trump_count_x_offsuit_ace,0.0
